lat_bin,lon_bin,zone_count,zone_avg_mag,zone_max_mag,zone_std_mag,zone_avg_depth,zone_avg_plate,zone_rate
-78.0,-148.0,1,5.5,5.5,0.0,12.0,0.04210958537365554,0.019230769230769232
-72.0,174.0,1,5.5,5.5,0.0,10.0,0.20996782775381834,0.019230769230769232
-68.0,112.0,1,5.7,5.7,0.0,10.0,0.03415446254333586,0.019230769230769232
-66.0,-180.0,4,5.85,6.2,0.25166114784235843,10.0,0.9275333689962595,0.07692307692307693
-66.0,-178.0,2,5.699999999999999,5.8,0.1414213562373093,10.0,0.9632150297349624,0.038461538461538464
-66.0,-176.0,1,5.6,5.6,0.0,10.0,0.8978594165800362,0.019230769230769232
-66.0,-82.0,1,6.2,6.2,0.0,33.0,0.058817262555871934,0.019230769230769232
-66.0,178.0,3,5.666666666666667,5.8,0.11547005383792538,10.0,0.9427813858197881,0.057692307692307696
-66.0,180.0,6,5.7,6.0,0.20976176963403048,13.833333333333334,0.9564258606873297,0.11538461538461539
-64.0,-170.0,1,5.5,5.5,0.0,10.0,0.9058904595460805,0.019230769230769232
-64.0,-168.0,3,5.866666666666667,6.1,0.2516611478423584,8.0,0.8905410817498342,0.057692307692307696
-64.0,-166.0,4,5.675,6.0,0.2217355782608346,10.0,0.8554951949296632,0.07692307692307693
-64.0,-164.0,4,5.9,6.1,0.16329931618554505,10.0325,0.9099074375437814,0.07692307692307693
-64.0,-158.0,3,5.533333333333334,5.6,0.05773502691896237,17.666666666666668,0.9278764932119453,0.057692307692307696
-64.0,-156.0,1,5.8,5.8,0.0,10.0,0.8640577193773623,0.019230769230769232
-64.0,-62.0,3,6.166666666666667,7.0,0.7234178138070239,18.099999999999998,0.910698334747558,0.057692307692307696
-64.0,-60.0,1,5.5,5.5,0.0,33.0,0.8834608833578967,0.019230769230769232
-64.0,146.0,1,5.8,5.8,0.0,10.0,0.2957583237859294,0.019230769230769232
-64.0,148.0,4,5.8,6.4,0.42426406871192845,10.0,0.399143916388974,0.07692307692307693
-64.0,170.0,10,5.6899999999999995,6.1,0.20248456731316566,14.15,0.9020119656147465,0.19230769230769232
-64.0,172.0,3,5.633333333333333,5.9,0.23094010767585058,10.0,0.8973647628245366,0.057692307692307696
-64.0,176.0,2,5.6,5.7,0.1414213562373093,21.5,0.8885158634764285,0.038461538461538464
-64.0,178.0,1,5.5,5.5,0.0,18.3,0.9882111858326897,0.019230769230769232
-62.0,-164.0,1,5.5,5.5,0.0,10.0,0.8895118821688432,0.019230769230769232
-62.0,-162.0,4,5.8,6.1,0.24494897427831763,10.0,0.9605713877855724,0.07692307692307693
-62.0,-160.0,3,5.666666666666667,5.8,0.15275252316519478,17.666666666666668,0.92812647616035,0.057692307692307696
-62.0,-158.0,1,5.5,5.5,0.0,10.0,0.9882137860546397,0.019230769230769232
-62.0,-156.0,1,5.7,5.7,0.0,10.0,0.8994516876639667,0.019230769230769232
-62.0,-68.0,1,5.5,5.5,0.0,10.0,0.4690760854816306,0.019230769230769232
-62.0,-66.0,1,5.9,5.9,0.0,10.0,0.6838612346478143,0.019230769230769232
-62.0,-62.0,1,5.8,5.8,0.0,59.4,0.9341819787960728,0.019230769230769232
-62.0,-56.0,2,5.9,6.0,0.1414213562373093,27.5,0.8914347354107788,0.038461538461538464
-62.0,-38.0,1,6.4,6.4,0.0,33.0,0.926601940806422,0.019230769230769232
-62.0,-34.0,1,7.0,7.0,0.0,13.0,0.9128507635240565,0.019230769230769232
-62.0,146.0,2,6.0,6.1,0.141421356237309,8.0,0.32329251382145713,0.038461538461538464
-62.0,148.0,1,5.7,5.7,0.0,10.0,0.42912018022366105,0.019230769230769232
-62.0,150.0,1,8.1,8.1,0.0,10.0,0.5455189686289182,0.019230769230769232
-62.0,152.0,1,5.6,5.6,0.0,10.0,0.7254351040362016,0.019230769230769232
-62.0,154.0,25,5.8,6.7,0.29011491975882037,11.08,0.8972377035614127,0.4807692307692308
-62.0,156.0,16,5.88125,6.4,0.2663800543083763,10.634375,0.884799183204102,0.3076923076923077
-62.0,160.0,4,5.75,6.0,0.19148542155126766,10.0,0.9295481431959167,0.07692307692307693
-62.0,162.0,7,5.728571428571429,5.9,0.12535663410560158,10.0,0.9249420253364625,0.1346153846153846
-62.0,164.0,4,5.875,6.0,0.09574271077563416,10.0,0.942783227404634,0.07692307692307693
-62.0,166.0,10,5.66,6.0,0.16465452046971285,14.9,0.9283545775492433,0.19230769230769232
-62.0,168.0,3,5.633333333333333,5.7,0.05773502691896288,27.333333333333332,0.9629316709236945,0.057692307692307696
-60.0,-152.0,3,5.666666666666667,5.7,0.05773502691896295,10.0,0.9651883915506635,0.057692307692307696
-60.0,-150.0,5,5.8,6.0,0.1870828693386971,10.6,0.9249917323739529,0.09615384615384616
-60.0,-66.0,3,5.833333333333333,6.0,0.15275252316519472,10.0,0.6853043064537959,0.057692307692307696
-60.0,-58.0,2,5.85,6.2,0.49497474683058373,21.5,0.9616651554832732,0.038461538461538464
-60.0,-56.0,8,5.95,6.6,0.29277002188455997,14.5,0.9527470516886068,0.15384615384615385
-60.0,-54.0,1,6.9,6.9,0.0,10.0,0.9647421803495195,0.019230769230769232
-60.0,-52.0,1,5.8,5.8,0.0,10.0,0.9234839729749202,0.019230769230769232
-60.0,-50.0,4,5.9,6.2,0.2449489742783183,10.0,0.8788560555773212,0.07692307692307693
-60.0,-48.0,4,6.0,6.9,0.66332495807108,10.26,0.9186121264419391,0.07692307692307693
-60.0,-46.0,6,6.05,7.7,0.8384509526501834,13.296666666666667,0.8835839967100996,0.11538461538461539
-60.0,-44.0,3,6.366666666666667,7.6,1.0692676621563626,10.0,0.9332014315431016,0.057692307692307696
-60.0,-42.0,2,5.55,5.6,0.0707106781186545,10.0,0.9183247625431359,0.038461538461538464
-60.0,-38.0,2,5.6,5.6,0.0,33.0,0.8773765623203036,0.038461538461538464
-60.0,-36.0,3,5.866666666666667,6.3,0.37859388972001834,10.0,0.8924214098950835,0.057692307692307696
-60.0,-34.0,4,5.775,6.0,0.22173557826083473,10.0,0.8887101053859063,0.07692307692307693
-60.0,-32.0,4,5.575,5.7,0.09574271077563379,21.5,0.9128025325893573,0.07692307692307693
-60.0,-30.0,5,6.0200000000000005,6.3,0.19235384061671365,75.82,0.9564795380357932,0.09615384615384616
-60.0,-28.0,11,5.690909090909091,6.7,0.3534248023400324,42.36363636363637,0.8629910356738438,0.21153846153846154
-60.0,-26.0,67,5.883582089552239,7.3,0.43679168286473835,32.359850746268656,0.8857559153957534,1.2884615384615385
-60.0,-24.0,13,5.953846153846154,6.6,0.3454836817549772,18.807692307692307,0.9259667485268482,0.25
-60.0,-22.0,4,6.725,7.4,0.6075908711186063,22.7,0.9606794551054855,0.07692307692307693
-60.0,-20.0,10,6.09,7.1,0.5606543795720617,12.35,0.9146336534751354,0.19230769230769232
-60.0,-18.0,9,5.666666666666667,5.9,0.158113883008419,15.11111111111111,0.9685928580417319,0.17307692307692307
-60.0,-16.0,3,5.8,6.2,0.3605551275463992,10.666666666666666,0.9582287683468449,0.057692307692307696
-60.0,150.0,13,5.938461538461539,6.5,0.3254188622336387,13.538461538461538,0.9166213443673012,0.25
-60.0,152.0,1,6.4,6.4,0.0,10.0,0.9233205769451545,0.019230769230769232
-60.0,154.0,22,6.031818181818181,6.6,0.26437052576218634,13.136363636363637,0.9219259967216835,0.4230769230769231
-60.0,158.0,3,6.366666666666667,7.3,0.832666399786453,13.133333333333333,0.9616601949568321,0.057692307692307696
-60.0,160.0,5,6.0,6.8,0.46368092477478523,28.4,0.9420813809227846,0.09615384615384616
-58.0,-148.0,4,5.775,6.0,0.17078251276599332,8.5,0.9517402420778192,0.07692307692307693
-58.0,-144.0,1,5.5,5.5,0.0,10.0,0.6338653481055554,0.019230769230769232
-58.0,-142.0,10,5.75,6.4,0.2953340857778226,10.0,0.8693232306402219,0.19230769230769232
-58.0,-140.0,4,5.875,6.5,0.47871355387816905,15.75,0.851008434935412,0.07692307692307693
-58.0,-66.0,6,5.833333333333333,6.3,0.35590260840104354,14.33,0.9388714149958495,0.11538461538461539
-58.0,-64.0,2,5.8,6.0,0.2828427124746193,23.0,0.9351696719047115,0.038461538461538464
-58.0,-28.0,3,5.7,6.0,0.2645751311064592,163.53333333333333,0.6518228421946941,0.057692307692307696
-58.0,-26.0,74,5.701351351351351,6.3,0.21421615203496996,51.87756756756757,0.7752538781399471,1.4230769230769231
-58.0,-24.0,24,5.966666666666666,6.8,0.3941602704999322,26.65833333333333,0.8967526866291252,0.46153846153846156
-58.0,-22.0,2,6.3,7.0,0.9899494936611668,9.0,0.6937017418408697,0.038461538461538464
-58.0,-16.0,3,5.8999999999999995,6.4,0.45825756949558377,10.0,0.9535441519476396,0.057692307692307696
-58.0,-14.0,5,6.38,6.8,0.4919349550499538,15.2,0.9303372076859254,0.09615384615384616
-58.0,-12.0,4,5.975,6.7,0.5123475382979801,13.217500000000001,0.9744642382561277,0.07692307692307693
-58.0,-10.0,3,5.8999999999999995,6.0,0.17320508075688762,17.666666666666668,0.9049163622519414,0.057692307692307696
-58.0,-8.0,6,5.983333333333333,6.2,0.19407902170679533,13.833333333333334,0.9625162957159809,0.11538461538461539
-58.0,-6.0,3,5.599999999999999,5.6,0.0,10.033333333333333,0.9277742937015526,0.057692307692307696
-58.0,148.0,15,5.886666666666667,6.5,0.302056443795022,11.533333333333333,0.9277977738195741,0.28846153846153844
-58.0,150.0,7,5.628571428571428,5.9,0.14960264830861927,9.524285714285714,0.9274827049801851,0.1346153846153846
-58.0,158.0,9,5.966666666666667,7.4,0.6164414002968979,17.299999999999997,0.9757201247685519,0.17307692307692307
-56.0,-144.0,14,5.614285714285714,6.2,0.18337495365063805,10.0,0.9284412027710814,0.2692307692307692
-56.0,-142.0,29,5.80344827586207,6.4,0.2993836032115341,10.241379310344827,0.9316584351729411,0.5576923076923077
-56.0,-140.0,10,5.68,6.1,0.19321835661585912,12.711,0.9265924792408038,0.19230769230769232
-56.0,-138.0,1,5.6,5.6,0.0,10.0,0.8735343839515053,0.019230769230769232
-56.0,-134.0,1,6.1,6.1,0.0,10.0,0.8040413937883512,0.019230769230769232
-56.0,-130.0,10,5.7299999999999995,6.2,0.18885620632287084,10.043000000000001,0.9557139595750591,0.19230769230769232
-56.0,-128.0,22,5.759090909090909,6.2,0.22394533965125316,11.104090909090909,0.9298674409989037,0.4230769230769231
-56.0,-126.0,8,5.8,6.1,0.2618614682831908,13.25,0.9530335477379452,0.15384615384615385
-56.0,-124.0,29,5.844827586206897,6.7,0.2898105377367276,11.706206896551725,0.9418809990439528,0.5576923076923077
-56.0,-122.0,12,6.1499999999999995,6.5,0.22360679774997894,10.416666666666666,0.9274147147969384,0.23076923076923078
-56.0,-68.0,1,6.5,6.5,0.0,14.0,0.9076301924252708,0.019230769230769232
-56.0,-58.0,1,5.6,5.6,0.0,10.0,0.5978775901064759,0.019230769230769232
-56.0,-48.0,1,6.4,6.4,0.0,10.0,0.5346089504957783,0.019230769230769232
-56.0,-36.0,2,6.25,6.6,0.49497474683058273,10.0,0.9195504879579245,0.038461538461538464
-56.0,-32.0,4,6.2,7.4,0.8366600265340757,8.035,0.8535617655280219,0.07692307692307693
-56.0,-30.0,16,5.80625,6.8,0.3567795771434608,34.875,0.9341037859673232,0.3076923076923077
-56.0,-28.0,148,5.751351351351351,6.9,0.27859865226842095,67.9875,0.8492338183857651,2.8461538461538463
-56.0,-26.0,82,5.762195121951219,7.2,0.34699423409392466,44.917073170731705,0.8794000365744628,1.5769230769230769
-56.0,-24.0,12,5.783333333333334,6.6,0.38807996676723816,20.735833333333332,0.9329583511979725,0.23076923076923078
-56.0,-16.0,1,5.8,5.8,0.0,10.0,0.5842051187640287,0.019230769230769232
-56.0,-4.0,5,6.0200000000000005,6.8,0.5215361924162117,9.2,0.9303543880063023,0.09615384615384616
